version,dR,dz,K,d0,iso,reweight,zeta,depth,trees,lr,reg_lambda,mcw,n_feat,n_train,n_holdout,auc_train,auc_holdout,path,gap
1.0,1.0,20.0,10,none,True,True,False,3,200,0.1,1.0,1.0,84,465378,114607,0.9129787169088527,0.8955397263946486,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_scan_dr1.0_dz20.0_K10_d0off_iso_rw_v1.0_nMAX/cfg01_d3_n200_lr0.1_L1.0_mcw1.0/summary.csv,0.017438990514204056
1.0,0.9,25.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9121646355512267,0.8954728413842136,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_scan_dr0.9_dz25.0_K10_d0on_iso_rw_v1.0_nMAX/cfg01_d3_n200_lr0.1_L1.0_mcw1.0/summary.csv,0.016691794167013163
1.0,1.0,15.0,10,none,True,True,False,2,400,0.1,1.0,1.0,84,465378,114607,0.9084746528100669,0.8954637024843285,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_scan_dr1.0_dz15.0_K10_d0off_iso_rw_v1.0_nMAX/cfg00_d2_n400_lr0.1_L1.0_mcw1.0/summary.csv,0.013010950325738402
1.0,1.0,30.0,10,none,True,True,False,3,200,0.1,1.0,1.0,84,465378,114607,0.912165166335437,0.8952553160057438,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_scan_dr1.0_dz30.0_K10_d0off_iso_rw_v1.0_nMAX/cfg01_d3_n200_lr0.1_L1.0_mcw1.0/summary.csv,0.016909850329693166
1.0,1.0,5.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9118152849311695,0.8951526411454065,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_scan_dr1.0_dz5.0_K10_d0on_iso_rw_v1.0_nMAX/cfg01_d3_n200_lr0.1_L1.0_mcw1.0/summary.csv,0.016662643785762987
1.0,0.9,35.0,10,both,True,True,False,2,400,0.1,1.0,1.0,105,465378,114607,0.9066818979218654,0.8950796611495353,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_scan_dr0.9_dz35.0_K10_d0on_iso_rw_v1.0_nMAX/cfg00_d2_n400_lr0.1_L1.0_mcw1.0/summary.csv,0.011602236772330077
1.0,1.0,10.0,10,none,True,True,False,3,200,0.1,1.0,1.0,84,465378,114607,0.9115698773731163,0.8950455173035278,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_scan_dr1.0_dz10.0_K10_d0off_iso_rw_v1.0_nMAX/cfg01_d3_n200_lr0.1_L1.0_mcw1.0/summary.csv,0.016524360069588573
1.0,0.5,10.0,10,both,True,False,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9102311213328245,0.8950376546530392,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_scan_dr0.5_dz10.0_K10_d0on_iso_norw_v1.0_nMAX/cfg01_d3_n200_lr0.1_L1.0_mcw1.0/summary.csv,0.015193466679785272
1.0,1.0,20.0,10,none,True,True,False,2,400,0.1,1.0,1.0,84,465378,114607,0.9082007818201965,0.8949578664033773,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_scan_dr1.0_dz20.0_K10_d0off_iso_rw_v1.0_nMAX/cfg00_d2_n400_lr0.1_L1.0_mcw1.0/summary.csv,0.013242915416819212
1.0,1.0,25.0,10,none,True,True,False,2,400,0.1,1.0,1.0,84,465378,114607,0.9079850432337416,0.8949144452977371,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_scan_dr1.0_dz25.0_K10_d0off_iso_rw_v1.0_nMAX/cfg00_d2_n400_lr0.1_L1.0_mcw1.0/summary.csv,0.013070597936004513
1.0,1.0,35.0,10,none,True,True,False,3,200,0.1,1.0,1.0,84,465378,114607,0.9125688956729552,0.8948929422845386,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_scan_dr1.0_dz35.0_K10_d0off_iso_rw_v1.0_nMAX/cfg01_d3_n200_lr0.1_L1.0_mcw1.0/summary.csv,0.017675953388416543
1.0,0.5,10.0,10,both,True,False,False,4,200,0.1,1.0,1.0,105,465378,114607,0.9284000114634111,0.8948725580768858,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_scan_dr0.5_dz10.0_K10_d0on_iso_norw_v1.0_nMAX/cfg02_d4_n200_lr0.1_L1.0_mcw1.0/summary.csv,0.0335274533865253
1.0,0.9,30.0,10,both,True,True,False,2,400,0.1,1.0,1.0,105,465378,114607,0.9074418591228414,0.8948049812677122,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_scan_dr0.9_dz30.0_K10_d0on_iso_rw_v1.0_nMAX/cfg00_d2_n400_lr0.1_L1.0_mcw1.0/summary.csv,0.012636877855129125
1.0,1.0,5.0,10,both,True,True,False,2,400,0.1,1.0,1.0,105,465378,114607,0.9068854615261348,0.8947263070525704,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_scan_dr1.0_dz5.0_K10_d0on_iso_rw_v1.0_nMAX/cfg00_d2_n400_lr0.1_L1.0_mcw1.0/summary.csv,0.012159154473564415
