version,dR,dz,K,d0,iso,reweight,zeta,depth,trees,lr,reg_lambda,mcw,n_feat,n_train,n_holdout,auc_train,auc_holdout,gap
1.0,0.9,10.0,10,none,True,True,False,2,400,0.1,1.0,1.0,84,465378,114607,0.9044201031451258,0.8908151775604992,0.01360492558462656
1.0,0.8,25.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9085382906489315,0.8907359904600859,0.017802300188845654
1.0,0.8,5.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9065318008736507,0.8906831107958333,0.015848690077817418
1.0,0.9,20.0,10,none,True,True,False,2,400,0.1,1.0,1.0,84,465378,114607,0.9045974754207039,0.8905423917759118,0.014055083644792132
1.0,0.7,15.0,10,both,True,True,False,2,400,0.1,1.0,1.0,105,465378,114607,0.9028170243543646,0.8905363922109912,0.012280632143373382
1.0,0.7,15.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.907657781199326,0.8905317356898284,0.0171260455094977
1.0,0.5,25.0,10,both,True,False,False,2,400,0.1,1.0,1.0,105,465378,114607,0.9028100918395308,0.8905084673970903,0.012301624442440429
1.0,0.9,25.0,10,none,True,True,False,2,400,0.1,1.0,1.0,84,465378,114607,0.9038361099113237,0.8904800678661241,0.013356042045199579
1.0,0.8,25.0,10,both,True,True,False,2,400,0.1,1.0,1.0,105,465378,114607,0.903785795005881,0.8904616445500678,0.013324150455813144
1.0,0.7,10.0,10,both,True,True,False,2,400,0.1,1.0,1.0,105,465378,114607,0.9028948708443383,0.8904403228358488,0.012454548008489441
1.0,0.5,20.0,10,both,True,False,False,2,400,0.1,1.0,1.0,105,465378,114607,0.9037741913549422,0.8902824233520871,0.01349176800285512
1.0,0.9,20.0,10,none,True,True,False,3,200,0.1,1.0,1.0,84,465378,114607,0.9092991554905597,0.8902567099086361,0.019042445581923584
1.0,0.9,25.0,10,muon-off,True,True,False,3,200,0.1,1.0,1.0,104,465378,114607,0.9090289053804094,0.8900707734918678,0.018958131888541563
1.0,0.9,15.0,10,muon-off,True,True,False,3,200,0.1,1.0,1.0,104,465378,114607,0.9094446569141791,0.8899886021148279,0.019456054799351197
1.0,0.9,25.0,10,muon-off,True,True,False,2,400,0.1,1.0,1.0,104,465378,114607,0.9041439574077571,0.8899625213023916,0.014181436105365486
1.0,0.9,35.0,10,none,True,True,False,3,200,0.1,1.0,1.0,84,465378,114607,0.9076302898680121,0.8899182724237782,0.017712017444233896
1.0,0.5,25.0,10,both,True,False,False,4,200,0.1,1.0,1.0,105,465378,114607,0.9298876659168858,0.8898899778553794,0.03999768806150639
1.0,0.9,35.0,10,muon-off,True,True,False,3,200,0.1,1.0,1.0,104,465378,114607,0.9082579725333859,0.8896946854570529,0.018563287076333035
1.0,0.9,20.0,10,muon-off,True,True,False,2,400,0.1,1.0,1.0,104,465378,114607,0.9049088168670049,0.8896656752347865,0.015243141632218404
1.0,0.9,30.0,10,none,True,True,False,3,200,0.1,1.0,1.0,84,465378,114607,0.9081780718071512,0.8895389353204057,0.018639136486745422
1.0,0.5,15.0,10,both,True,False,False,2,200,0.1,1.0,1.0,105,465378,114607,0.8954834298436634,0.8894826801554124,0.006000749688250928
1.0,0.9,20.0,10,muon-off,True,True,False,3,200,0.1,1.0,1.0,104,465378,114607,0.9098265709178218,0.8893487789313332,0.02047779198648858
1.0,0.9,35.0,10,none,True,True,False,2,400,0.1,1.0,1.0,84,465378,114607,0.9031443444180531,0.8893340030644872,0.013810341353565958
1.0,0.9,30.0,10,muon-off,True,True,False,3,200,0.1,1.0,1.0,104,465378,114607,0.9085939795057745,0.8891995173897497,0.019394462116024802
1.0,0.9,35.0,10,muon-off,True,True,False,2,400,0.1,1.0,1.0,104,465378,114607,0.9029871581025128,0.8891733650119269,0.013813793090585946
1.0,0.8,5.0,10,both,True,True,False,2,400,0.1,1.0,1.0,105,465378,114607,0.9016567120010112,0.8890701462546503,0.012586565746360856
1.0,1.0,5.0,10,muon-off,True,True,False,3,200,0.1,1.0,1.0,104,465378,114607,0.9063602232984286,0.8889672900953333,0.017392933203095318
1.0,0.9,30.0,10,none,True,True,False,2,400,0.1,1.0,1.0,84,465378,114607,0.903151366694623,0.8889255436197425,0.014225823074880517
1.0,0.7,20.0,10,both,True,True,False,2,400,0.1,1.0,1.0,105,465378,114607,0.9019959148437867,0.8887321739448061,0.013263740898980636
1.0,1.0,5.0,10,none,True,True,False,3,200,0.1,1.0,1.0,84,465378,114607,0.9061379338681552,0.8886463670461204,0.017491566822034788
1.0,0.7,25.0,10,both,True,True,False,2,400,0.1,1.0,1.0,105,465378,114607,0.9008019084909382,0.8883656351180933,0.01243627337284492
1.0,0.8,15.0,10,none,True,True,False,2,400,0.1,1.0,1.0,84,465378,114607,0.901215462257815,0.8882699617380907,0.012945500519724318
1.0,0.8,15.0,10,none,True,True,False,3,200,0.1,1.0,1.0,84,465378,114607,0.9066284710313897,0.8881793742715716,0.018449096759818095
1.0,0.9,30.0,10,muon-off,True,True,False,2,400,0.1,1.0,1.0,104,465378,114607,0.9029220075359946,0.8881156262105881,0.014806381325406459
1.0,0.7,30.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9054188404069923,0.8880047857396254,0.017414054667366896
1.0,0.7,25.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9056067463912444,0.8879956897789723,0.017611056612272136
1.0,0.7,20.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.90638517265377,0.8878915311296168,0.018493641524153226
1.0,1.0,5.0,10,none,True,True,False,2,400,0.1,1.0,1.0,84,465378,114607,0.9005976519143135,0.887694499692393,0.01290315222192051
1.0,1.0,5.0,10,muon-off,True,True,False,2,400,0.1,1.0,1.0,104,465378,114607,0.9018110720705963,0.8876408996032472,0.014170172467349085
1.0,0.7,35.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9049454768234386,0.887464686537022,0.01748079028641658
1.0,0.7,30.0,10,both,True,True,False,2,400,0.1,1.0,1.0,105,465378,114607,0.9001696222678531,0.887451136823802,0.012718485444051186
1.0,0.8,15.0,10,muon-off,True,True,False,3,200,0.1,1.0,1.0,104,465378,114607,0.9061695179526692,0.8871866621661262,0.018982855786543018
1.0,0.8,10.0,10,none,True,True,False,2,400,0.1,1.0,1.0,84,465378,114607,0.9005417847092749,0.8871405454309192,0.013401239278355681
1.0,0.6,10.0,10,both,True,True,False,2,400,0.1,1.0,1.0,105,465378,114607,0.8997128690127594,0.8871347891883137,0.012578079824445698
1.0,0.8,10.0,10,none,True,True,False,3,200,0.1,1.0,1.0,84,465378,114607,0.9060092673977003,0.8871153186320981,0.01889394876560213
1.0,0.7,5.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9041882011290674,0.8871012011668097,0.01708699996225771
1.0,0.7,5.0,10,both,True,True,False,2,400,0.1,1.0,1.0,105,465378,114607,0.8998160763517288,0.8869795948761702,0.012836481475558603
1.0,0.8,10.0,10,muon-off,True,True,False,3,200,0.1,1.0,1.0,104,465378,114607,0.9063733420275737,0.8869042770776658,0.019469064949907855
1.0,0.8,20.0,10,none,True,True,False,2,400,0.1,1.0,1.0,84,465378,114607,0.9006324004305705,0.8868054762902633,0.013826924140307173
1.0,0.6,10.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9042021119945152,0.8867906550986723,0.01741145689584289
1.0,0.8,25.0,10,none,True,True,False,3,200,0.1,1.0,1.0,84,465378,114607,0.9049124774123039,0.8867296026672553,0.01818287474504854
1.0,0.8,20.0,10,none,True,True,False,3,200,0.1,1.0,1.0,84,465378,114607,0.9054720915936441,0.8865779484562419,0.01889414313740212
1.0,0.8,35.0,10,none,True,True,False,3,200,0.1,1.0,1.0,84,465378,114607,0.9035766649986987,0.8865360230671845,0.017040641931514222
1.0,0.7,35.0,10,both,True,True,False,2,400,0.1,1.0,1.0,105,465378,114607,0.8994177763505117,0.8865068554010676,0.012910920949444127
1.0,0.8,15.0,10,muon-off,True,True,False,2,400,0.1,1.0,1.0,104,465378,114607,0.900840045329095,0.8864665545462885,0.014373490782806475
1.0,0.8,10.0,10,muon-off,True,True,False,2,400,0.1,1.0,1.0,104,465378,114607,0.9009575297790244,0.8863578300252598,0.014599699753764628
1.0,0.8,30.0,10,none,True,True,False,2,400,0.1,1.0,1.0,84,465378,114607,0.8986995389313062,0.886126797872802,0.012572741058504144
1.0,0.8,30.0,10,none,True,True,False,3,200,0.1,1.0,1.0,84,465378,114607,0.9045027628327409,0.8859057133090988,0.01859704952364205
1.0,0.6,15.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.904131552659033,0.8859018774043703,0.01822967525466268
1.0,0.8,20.0,10,muon-off,True,True,False,3,200,0.1,1.0,1.0,104,465378,114607,0.9056672872298503,0.8857205617260717,0.01994672550377863
1.0,0.9,5.0,10,none,True,True,False,3,200,0.1,1.0,1.0,84,465378,114607,0.903283210084133,0.8855438715572683,0.017739338526864712
1.0,0.7,10.0,10,none,True,True,False,3,200,0.1,1.0,1.0,84,465378,114607,0.9021989793963092,0.8854953239844255,0.016703655411883678
1.0,0.8,25.0,10,none,True,True,False,2,400,0.1,1.0,1.0,84,465378,114607,0.8996748103304841,0.8854899160267019,0.014184894303782225
1.0,0.8,25.0,10,muon-off,True,True,False,3,200,0.1,1.0,1.0,104,465378,114607,0.9047324202177593,0.8853603731346744,0.01937204708308493
1.0,0.8,35.0,10,none,True,True,False,2,400,0.1,1.0,1.0,84,465378,114607,0.898022840481655,0.8853543521001379,0.012668488381517129
1.0,0.9,5.0,10,none,True,True,False,2,400,0.1,1.0,1.0,84,465378,114607,0.898340832964089,0.88533492925418,0.01300590370990895
